Package last-used report
Generated: 2026-08-29 07:04:52
Packages: 717

PACKAGE                                   TYPE    VERSION     LAST USED    ENV               PATH
alabaster                                 python  1.0.0       2024-12-09   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/alabaster-1.0.0.dist-info
sphinxcontrib-jsmath                      python  1.0.1       2024-12-09   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/sphinxcontrib_jsmath-1.0.1.dist-info
sphinxcontrib-devhelp                     python  2.0.0       2024-12-09   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/sphinxcontrib_devhelp-2.0.0.dist-info
sphinxcontrib-htmlhelp                    python  2.1.0       2024-12-09   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/sphinxcontrib_htmlhelp-2.1.0.dist-info
jupyter                                   python  1.1.1       2024-12-10   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jupyter-1.1.1.dist-info
astor                                     python  0.8.1       2024-12-10   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/astor-0.8.1.dist-info
html5lib                                  python  1.1         2024-12-13   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/html5lib-1.1.dist-info
overrides                                 python  7.7.0       2024-12-18   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/overrides-7.7.0.dist-info
diff-match-patch                          python  20241021    2024-12-19   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/diff_match_patch-20241021.dist-info
pyuca                                     python  1.2         2024-12-20   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyuca-1.2.dist-info
pylint-venv                               python  3.0.4       2024-12-21   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pylint_venv-3.0.4.dist-info
gitdb                                     python  4.0.12      2025-01-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/gitdb-4.0.12.dist-info
python-lsp-jsonrpc                        python  1.1.2       2025-01-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/python_lsp_jsonrpc-1.1.2.dist-info
pyls-spyder                               python  0.4.0       2025-01-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyls_spyder-0.4.0.dist-info
applaunchservices                         python  0.3.0       2025-01-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/applaunchservices-0.3.0.dist-info
three-merge                               python  0.1.1       2025-01-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/three_merge-0.1.1.dist-info
whatthepatch                              python  1.0.7       2025-01-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/whatthepatch-1.0.7.dist-info
textdistance                              python  4.6.3       2025-01-05   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/textdistance-4.6.3.dist-info
wurlitzer                                 python  3.1.1       2025-01-05   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/wurlitzer-3.1.1.dist-info
pkce                                      python  1.0.3       2025-01-06   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pkce-1.0.3.dist-info
partd                                     python  1.4.2       2025-01-13   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/partd-1.4.2.dist-info
tomli_w                                   python  1.2.0       2025-01-15   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/tomli_w-1.2.0.dist-info
ipython_pygments_lexers                   python  1.1.1       2025-01-17   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/ipython_pygments_lexers-1.1.1.dist-info
blinker                                   python  1.9.0       2025-01-21   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/blinker-1.9.0.dist-info
hyperframe                                python  6.1.0       2025-01-23   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/hyperframe-6.1.0.dist-info
sortedcontainers                          python  2.4.0       2025-02-01   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/sortedcontainers-2.4.0.dist-info
pyconify                                  python  0.2.1       2025-02-06   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyconify-0.2.1.dist-info
corepack                                  node    0.31.0      2025-02-10   global            /usr/local/lib/node_modules/corepack
aws-cdk                                   node    2.1002.0    2025-03-07   global            /usr/local/lib/node_modules/aws-cdk
threadpoolctl                             python  3.6.0       2025-03-13   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/threadpoolctl-3.6.0.dist-info
python-lsp-black                          python  2.0.0       2025-04-07   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/python_lsp_black-2.0.0.dist-info
lckr_jupyterlab_variableinspector         python  3.2.4       2025-04-14   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/lckr_jupyterlab_variableinspector-3.2.4.dist-info
dmglib                                    python  0.9.5       2025-04-14   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/dmglib-0.9.5.dist-info
sphinxcontrib-qthelp                      python  2.0.0       2025-04-15   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/sphinxcontrib_qthelp-2.0.0.dist-info
sphinxcontrib-applehelp                   python  2.0.0       2025-04-15   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/sphinxcontrib_applehelp-2.0.0.dist-info
sphinxcontrib-serializinghtml             python  2.0.0       2025-04-15   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/sphinxcontrib_serializinghtml-2.0.0.dist-info
mypy_extensions                           python  1.1.0       2025-04-27   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/mypy_extensions-1.1.0.dist-info
validators                                python  0.35.0      2025-05-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/validators-0.35.0.dist-info
docstring-to-markdown                     python  0.17        2025-05-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/docstring_to_markdown-0.17.dist-info
evalidate                                 python  2.0.5       2025-05-09   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/evalidate-2.0.5.dist-info
anaconda-catalogs                         python  0.2.0       2025-05-20   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/anaconda_catalogs-0.2.0.dist-info
httpcore                                  python  1.0.9       2025-05-29   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/httpcore-1.0.9.dist-info
argon2-cffi                               python  25.1.0      2025-06-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/argon2_cffi-25.1.0.dist-info
seaborn                                   python  0.13.2      2025-06-05   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/seaborn-0.13.2.dist-info
lsprotocol                                python  2025.0.0    2025-06-18   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/lsprotocol-2025.0.0.dist-info
pyviz_comms                               python  3.0.6       2025-06-23   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyviz_comms-3.0.6.dist-info
aiosignal                                 python  1.4.0       2025-07-04   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/aiosignal-1.4.0.dist-info
rope                                      python  1.14.0      2025-07-12   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/rope-1.14.0.dist-info
rfc3987-syntax                            python  1.1.0       2025-07-18   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/rfc3987_syntax-1.1.0.dist-info
six                                       python  1.17.0      2025-07-22   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/six-1.17.0.dist-info
comm                                      python  0.2.3       2025-07-25   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/comm-0.2.3.dist-info
reg-suit                                  node    0.12.2      2025-07-27   global            /usr/local/lib/node_modules/reg-suit
typescript                                node    5.8.3       2025-07-27   global            /usr/local/lib/node_modules/typescript
kill-port                                 node    2.0.1       2025-08-06   global            /usr/local/lib/node_modules/kill-port
libarchive-c                              python  5.3         2025-08-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/libarchive_c-5.3.dist-info
conda-anaconda-tos                        python  0.2.2       2025-08-13   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/conda_anaconda_tos-0.2.2.dist-info
rtree                                     python  1.4.1       2025-08-13   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/rtree-1.4.1.dist-info
conda-anaconda-telemetry                  python  0.3.0       2025-08-22   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/conda_anaconda_telemetry-0.3.0.dist-info
ipydatagrid                               python  1.4.0       2025-08-23   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/ipydatagrid-1.4.0.dist-info
executing                                 python  2.2.1       2025-09-01   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/executing-2.2.1.dist-info
pyerfa                                    python  2.0.1.5     2025-09-02   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyerfa-2.0.1.5.dist-info
jsonschema-specifications                 python  2025.9.1    2025-09-08   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jsonschema_specifications-2025.9.1.dist-info
PyQtWebEngine                             python  5.15.7      2025-10-03   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/pyqtwebengine-5.15.7.dist-info
appscript                                 python  1.4.0       2025-10-12   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/appscript-1.4.0.dist-info
uncompresspy                              python  0.4.1       2025-10-12   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/uncompresspy-0.4.1.dist-info
referencing                               python  0.37.0      2025-10-13   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/referencing-0.37.0.dist-info
toolz                                     python  1.1.0       2025-10-17   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/toolz-1.1.0.dist-info
arrow                                     python  1.4.0       2025-10-18   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/arrow-1.4.0.dist-info
iniconfig                                 python  2.3.0       2025-10-18   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/iniconfig-2.3.0.dist-info
patsy                                     python  1.0.2       2025-10-20   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/patsy-1.0.2.dist-info
jupyterlab_server                         python  2.28.0      2025-10-22   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/jupyterlab_server-2.28.0.dist-info
lark                                      python  1.3.1       2025-10-27   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/lark-1.3.1.dist-info
webcolors                                 python  25.10.0     2025-10-31   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/webcolors-25.10.0.dist-info
widgetsnbextension                        python  4.0.15      2025-11-01   conda:anaconda3   /opt/anaconda3/lib/python3.13/site-packages/widgetsnbextension-4.0.15.dist-info
